Country,Date,Cases,Deaths,Recoveries,SANITY_CHECK,Mortality_Rate,Recovery_Rate,Mortality_Rate_Change,Recovery_Rate_Change
KAZAKHSTAN,2020-12-11,184557,2551,156093,true,0.013822287965235672,0.8457712251499536,-0.004632651350499506,-1.8688231929098187E-4
KAZAKHSTAN,2020-12-12,185513,2552,156848,true,0.013756448335157104,0.8454825268310038,-0.004763294632853854,-3.413432738843536E-4
KAZAKHSTAN,2020-12-13,186277,2552,157701,true,0.01370002737858136,0.8465940507953209,-0.0041014188547162655,0.0013146622538531272
KAZAKHSTAN,2020-12-14,186960,2554,158705,true,0.013660676080445015,0.8488714163457424,-0.002872351787987504,0.0026900325466285846
KAZAKHSTAN,2020-12-15,187890,2613,159985,true,0.01390707328756187,0.8514822502528075,0.018036970181114942,0.0030756529867672633
KAZAKHSTAN,2020-12-16,188837,2613,160889,true,0.013837330607878753,0.8519993433490258,-0.005014907036226979,6.072858195984576E-4
KAZAKHSTAN,2020-12-17,189551,2615,161561,true,0.013795759452601147,0.8523352554193858,-0.003004275640703158,3.9426329724578935E-4
KAZAKHSTAN,2020-12-18,190292,2617,162074,true,0.013752548714607024,0.8517121056061211,-0.003132175371902024,-7.311088087728068E-4
KAZAKHSTAN,2020-12-19,190969,2621,162959,true,0.013724740664715216,0.853326979771586,-0.002022028823084443,0.0018960328904984447
KAZAKHSTAN,2020-12-20,191650,2622,163834,true,0.01368118966866684,0.8548604226454475,-0.0031731744236407344,0.0017970167476386578
KAZAKHSTAN,2020-12-21,192579,2626,164774,true,0.013635962384268275,0.8556176945565197,-0.003305800554914251,8.858427539888414E-4
KAZAKHSTAN,2020-12-22,193503,2677,165950,true,0.013834410836007711,0.8576094427476577,0.014553314694413233,0.002327848294640944
KAZAKHSTAN,2020-12-23,194257,2677,167503,true,0.013780713178933063,0.8622752333249253,-0.003881456009307338,0.005440460825989701
KAZAKHSTAN,2020-12-24,194993,2677,168805,true,0.013728697953259861,0.8656977429959024,-0.003774494469032108,0.003969161514450592
KAZAKHSTAN,2020-12-25,196216,2685,170515,true,0.01368389937619766,0.8690167978146532,-0.003263133708289123,0.0038339649671081943
KAZAKHSTAN,2020-12-26,197142,2686,171798,true,0.013624696918972112,0.8714429193170405,-0.004326431786580209,0.0027918004674805097
KAZAKHSTAN,2020-12-27,197902,2686,172673,true,0.013572374205414801,0.8725177107861467,-0.0038402845852998357,0.0012333469528313934
KAZAKHSTAN,2020-12-28,198659,2689,173577,true,0.01353575725237719,0.8737434498311176,-0.0026979032911577105,0.0014048299877678083
KAZAKHSTAN,2020-12-29,199555,2760,174713,true,0.013830773470972915,0.8755130164616272,0.02179532427296693,0.002025270267664414
KAZAKHSTAN,2020-12-30,200443,2761,175558,true,0.013774489505744775,0.8758499922671283,-0.004069473435181603,3.848895438050004E-4
KAZAKHSTAN,2020-12-31,201196,2761,175558,true,0.013722936837710491,0.8725720193244398,-0.003742619137557357,-0.003742619137557468
KAZAKHSTAN,2021-01-01,202060,2765,176774,true,0.01368405424131446,0.8748589527863011,-0.0028334019791727005,0.002620910837402013
KAZAKHSTAN,2021-01-02,202880,2770,177209,true,0.01365339116719243,0.8734670741324921,-0.002240788700577867,-0.0015909749215871072
KAZAKHSTAN,2021-01-03,203563,2771,178008,true,0.013612493429552522,0.8744614689309943,-0.0029954270802832195,0.0011384456586296388
KAZAKHSTAN,2021-01-04,204293,2775,178492,true,0.013583431639850607,0.8737059027964736,-0.0021349350765395014,-8.640359368198292E-4
KAZAKHSTAN,2021-01-05,205064,2775,179377,true,0.013532360628876838,0.8747366675769516,-0.0037598018179690884,0.001179761722083672
KAZAKHSTAN,2021-01-06,205933,2781,180364,true,0.013504392205231799,0.875838258074228,-0.0020667808383230124,0.0012593395682471975
KAZAKHSTAN,2021-01-07,206840,2781,181193,true,0.013445175014503964,0.8760056081995745,-0.004385031908721748,1.910742352297934E-4
KAZAKHSTAN,2021-01-08,207683,2838,181944,true,0.013665056841436228,0.8760659273989686,0.01635395795852901,6.885709272808072E-5
KAZAKHSTAN,2021-01-09,208596,2843,182575,true,0.013629216284108995,0.8752564766342595,-0.0026227887482001,-9.239610163955803E-4
KAZAKHSTAN,2021-01-10,209369,2844,182986,true,0.0135836728455502,0.8739880307017753,-0.0033416036263137494,-0.0014492277022181144
KAZAKHSTAN,2021-01-11,210086,2845,183788,true,0.013542073246194416,0.874822691659606,-0.0030624706461045426,9.550027328870669E-4
KAZAKHSTAN,2021-01-12,210976,2879,184545,true,0.013646101926285454,0.8747203473380859,0.007681887270863275,-1.1698864523734809E-4
KAZAKHSTAN,2021-01-13,211901,2881,185381,true,0.013595971703767326,0.8748472163887854,-0.003673592853763341,1.4503955588263118E-4
KAZAKHSTAN,2021-01-14,212812,2882,186159,true,0.013542469409619758,0.8747580023682875,-0.003935157803597322,-1.019766867020877E-4
KAZAKHSTAN,2021-01-15,213855,2883,186859,true,0.01348109700498001,0.8737649341843773,-0.0045318473893802835,-0.0011352490417024796
KAZAKHSTAN,2021-01-16,214927,2887,187608,true,0.013432467768125922,0.8728917260279071,-0.0036072165964033953,-9.993627831783591E-4
KAZAKHSTAN,2021-01-17,215947,2889,188116,true,0.013378282634164865,0.8711211547277804,-0.004033892721457599,-0.0020283973914883013
KAZAKHSTAN,2021-01-18,216964,2891,189105,true,0.013324791209601592,0.8715962095094117,-0.003998377521690966,5.453372117680821E-4
KAZAKHSTAN,2021-01-19,218216,2894,190202,true,0.013262088939399494,0.8716226124573817,-0.004705685005924609,3.029263744136479E-5
KAZAKHSTAN,2021-01-20,219527,2950,191446,true,0.013437982571619891,0.8720840716631667,0.013262890410713934,5.294254637153717E-4
KAZAKHSTAN,2021-01-21,221053,2952,192578,true,0.013354263457179952,0.8711847385016263,-0.006230035944290391,-0.0010312459437830102
KAZAKHSTAN,2021-01-22,222701,2953,193702,true,0.013259931477631444,0.8697850481138387,-0.007063809984802272,-0.001606651638772827
KAZAKHSTAN,2021-01-23,224395,2955,194635,true,0.013168742619042315,0.8673767240803049,-0.006877023364936563,-0.0027688726527966834
KAZAKHSTAN,2021-01-24,225891,2958,195496,true,0.013094811214258205,0.8654439530570054,-0.005614158232328359,-0.0022282947762390926
KAZAKHSTAN,2021-01-25,227165,2961,196978,true,0.013034578390156934,0.8671142121365527,-0.004599747420236611,0.0019299448261755892
KAZAKHSTAN,2021-01-26,228692,3035,198504,true,0.013271124481835832,0.8679971315131269,0.018147582882889868,0.0010182273156364996
KAZAKHSTAN,2021-01-27,230188,3040,199667,true,0.013206596347333484,0.8674083792378404,-0.00486229592606624,-6.78288272980887E-4
KAZAKHSTAN,2021-01-28,231716,3040,201105,true,0.013119508363686581,0.8678943189076282,-0.006594279203853026,5.602201701289111E-4
KAZAKHSTAN,2021-01-29,233156,3042,202652,true,0.013047058621695345,0.8691691399749524,-0.0055222909260662645,0.0014688667036426573
KAZAKHSTAN,2021-01-30,234569,3045,203657,true,0.01298125498254245,0.8682178804530863,-0.005043561239425509,-0.0010944469587282901
KAZAKHSTAN,2021-01-31,235844,3046,204668,true,0.01291531690439443,0.8678109258662505,-0.005079484089688946,-4.6872403344588864E-4
KAZAKHSTAN,2021-02-01,237029,3046,205991,true,0.012850748220681857,0.8690539976121066,-0.004999388260508275,0.001432422327035443
KAZAKHSTAN,2021-02-02,238364,3047,207328,true,0.01278297058280613,0.8697957745297109,-0.0052742172449263824,8.535452568454449E-4
KAZAKHSTAN,2021-02-03,239726,3048,208691,true,0.012714515738801798,0.8705396994902513,-0.005355159316130065,8.552869332374424E-4
KAZAKHSTAN,2021-02-04,240983,3119,210342,true,0.012942821692816506,0.8728499520713079,0.017956323206079317,0.0026538164570890643
KAZAKHSTAN,2021-02-05,240983,3119,210342,true,0.012942821692816506,0.8728499520713079,0.0,0.0
KAZAKHSTAN,2021-02-06,243404,3119,213126,true,0.012814086867923288,0.87560598839789,-0.009946426517230655,0.0031575144388125143
KAZAKHSTAN,2021-02-07,244428,3124,214215,true,0.012780859803295857,0.8763930482596102,-0.0025930107209282127,8.988744619715661E-4
KAZAKHSTAN,2021-02-08,245351,3124,215774,true,0.012732778753703877,0.8794502569787773,-0.0037619573590488287,0.0034883990981424695
KAZAKHSTAN,2021-02-09,246474,3127,217275,true,0.012686936553145565,0.8815331434552934,-0.0036003296252185013,0.0023683960064684317
KAZAKHSTAN,2021-02-10,247533,3131,219044,true,0.012648818541366201,0.8849082748562818,-0.0030045087417035488,0.0038287061876756123
KAZAKHSTAN,2021-02-11,248566,3132,220497,true,0.012600275178423437,0.8870762694817473,-0.003837778428397054,0.0024499653659784126
KAZAKHSTAN,2021-02-12,249562,3135,222129,true,0.012562008639135766,0.8900754121220378,-0.003036960601717431,0.0033809298517732955
KAZAKHSTAN,2021-02-13,250399,3135,223153,true,0.012520018051190301,0.8911896613005643,-0.0033426651064900614,0.001251859295686053
KAZAKHSTAN,2021-02-14,251267,3140,224479,true,0.012496666892190379,0.8933883080547784,-0.0018651058572317636,0.0024670918545055542
KAZAKHSTAN,2021-02-15,251959,3142,225972,true,0.012470282863481758,0.8968602034457988,-0.0021112852680029714,0.003886210911557386
KAZAKHSTAN,2021-02-16,252821,3144,227258,true,0.01243567583389038,0.898888937232271,-0.0027751599518821557,0.002262040147034794
KENYA,2020-03-27,31,1,1,true,0.03225806451612903,0.03225806451612903,0.0,0.0
KENYA,2020-03-28,38,1,1,true,0.02631578947368421,0.02631578947368421,-0.1842105263157895,-0.1842105263157895
